id,fecha_aproximada,contenido,cantidad_respuestas_aprox,comentarios_usuarios,compartidos,enlace,reacciones,sentimiento_contenido,prob_POS_contenido,prob_NEG_contenido,prob_NEU_contenido,sentimiento_comentarios
11,1 día,"Senador @BetoOvelarANR explica, en la 7.30 AM ABC Cardinal, Paraguay, que la razón por la @MarioSenadorPY se aleja de @PrensaHonor para volver a @MaritoAbdo es de índole electoral pues los espacios para candidaturas a @SenadoresPy se van reduciendo en @PrensaHonor",0,Ejapi nde cartista evp,,https://www.facebook.com/evargaspena/posts/pfbid0Bn3R1KdJ3f5d5ikzF7mg347YPX2qEN1gpg7VuB9Dqybca3Av94KXCDcJyVR44NJZl?__cft__[0]=AZVpahIdFcLIFs5fOVMIsdcqq0D-RxhbLaiiWPQNXWSGj8ZmWzeRV_PAYEMmXcBpkf7Br10MdPTTgc7RaL7eAYR-vMRtfHe9tU-a5o6T6sk1-mFLPLpHGJQuba8Owq3Fz9zva2kEwfAVsxI_Rc9pZE5yhyfuxMhxqexK3JUyJJ8IpGZnzMpxl4vxTbRgsQrKFrI&__tn__=%2CO%2CP-R,7.0,NEU,0.020578233525156975,0.42260777950286865,0.5568139553070068,NEU
12,1 día,Vuelvan a la hora astronómica CARAJO! No jodan por su yoga la puta!! Respeten a la ciencia que los solsticios no desaparecen por decreto!!,0,"Estoy de acuerdo con usted Vargas peña,que vuelva el horario de invierno. Los chicos se van de madrugada a la escuela y con este horrible es.",8 veces compartido,https://www.facebook.com/evargaspena/posts/pfbid02kqSe16yAANfLQCCLeGg2HsJqy3JJzCgktHuvkcCneUMG3HDU6rtib28oEVAdRRBVl?__cft__[0]=AZVWFDnXfpGIbI0jkp8rWk0S8_-DJMpZ_B-rH1bkTEE1PHLSlURWAw9gwzuiSUXVS8YOK5lJnQFCe_ajX3mxXyoQTuHbAIj02YOorKVZ58rADvYgk-8g7brzBhEIDp1X1sHRDuM3YZvnGrZ3UbYy-91EHnk82kI_voPxmxozWpaY6QtBHQdDTuuQZy5HI0jnkg_oYMffBSEyMiBKZMBYM0dt&__tn__=%2CO%2CP-R,8.0,NEG,0.0631597563624382,0.6129090189933777,0.32393118739128113,NEG
13,1 día,"Rubén Aguilar, @dinacpy, confirma, en la 7.30 AM ABC Cardinal, Paraguay, que aviones de @LATAM_PAR a Santiago, como el que se vio afectado por incendio de su motor uno (A320) tienen más de 20 años de antigüedad y que integran una lista de aeronaves de la empresa para volar a PY",0,,,https://www.facebook.com/evargaspena/posts/pfbid02DWqnRvi1fEynrpaffJaSMq6C2YGseQMxheGGjRRU6LhDua23vubbaN7GfkVb7af9l?__cft__[0]=AZUxiJzI6dfcDtWIiQxM61VPOQ0vgGf36VeGJC5gMkg-rBMUhYgdmDIlYouWcDLODoxgXAWYOTxYyh_UxMPQR-HKwdLZm95bLJcAYnyaw-RmZDcmEEJ0RlIjFWWBfwHcT7oVKbnOgwuebg5-brhKJpoMRB7QKiHxrlHw1gp_LzaaRUgH9Nro1mSevzutnZS2hQI&__tn__=%2CO%2CP-R,,NEU,0.07105334103107452,0.11395673453807831,0.8149899244308472,SIN_COMENTARIO
14,1 día,"Rubén Aguilar, @dinacpy, no confirma ni desmiente, en la 7.30 AM ABC Cardinal, Paraguay, que motivo de cancelación de vuelo de @AirEuropa de ayer a Madrid sea muerte de algún tripulante o algún tema organizacional de empresa. Hoy salen 2 vuelos de @AirEuropa: unos 600 pasajeros",0,Que opinion mas pueblerina..,,https://www.facebook.com/evargaspena/posts/pfbid0kZPbdmZYxmgLdTA8G2G4rDD9znBFwh5vem9BgcercoC6xjurcGQzZCN8wmYBcJfRl?__cft__[0]=AZVtZ7VxXzIV_u_dUyIpvNaCBE6JR1yDfYxT0yz0Lbilsht41SRiHTjWm_5UsN--Nv8LW4F4qO2DQ4aK4wJUPs1AUEg5PipB9VU2DHO1KU9viq2TQCnrCz1fd93NVqlrgu9T9fdKCFjSqp4VAahli7FwDcHBketOU2N2pI0ovT8XAYmMqLIBXDqCa5G69KnO5Dw&__tn__=%2CO%2CP-R,,NEG,0.006628022994846106,0.7847033739089966,0.2086685597896576,NEG
15,1 día,"Hola, hasta las 08:00 estoy en 7.30 AM ABC Cardinal, Paraguay. Deportes con Ariel Julian Marecos",0,Que buenos tus compañeros de trabajo...excelentes todas las mañanas les escucho,1 vez compartido,https://www.facebook.com/evargaspena/videos/1232550061840666/?__cft__[0]=AZWc-Z-1daBdGrH_mhDmyzCC8RlAExqJxqm0HFfrMBRTdFU6IlV52frC9_Yvg-R9IYDLjGT7PjJFXIB8diEYQSiblFsGq-Ag-9XPnzjZ4gy3M2qJSWXox7UHqBemDkYySHxeShrPmzO0izF32pe_5CdGeYpcgUTVL1_EFL6MNx7L1Gnkhn52jOWzHTOunbRcdveDYyGRF72n_Prc0DjiyOwT&__tn__=%2CO%2CP-R,,NEU,0.21240070462226868,0.031092524528503418,0.7565068006515503,POS
16,2 días,"Diputado @DiosnelD sostiene, en la 7.30 AM ABC Cardinal, Paraguay, que explicaciones de @TSJE_Py sobre seguridad de máquinas de votación ""son muy sólidas"", pero que trabajo de comisión de seguimiento de las máquinas que integra debe trabajar para que no queden ni mínimas dudas",0,,,https://www.facebook.com/evargaspena/posts/pfbid0nuMdnrZrwXD7YT93Rb1rFDM6xkJSu67yrK1rc8GNXGvnFwRjW1aifLgVKQcvCp8Ml?__cft__[0]=AZVyc5kQ0kJZy8rJML3aipncgFz3Sw9JSih5LiQ6JRioVb7yq50Vh4lh7m0b0EAl4hZQcteK_7s0Ol6s8SwOj5z0eWuyHfp9J6ghyISQO6NJwucvh7RKsy4KsxFPhtxEfpE8t3KkNkM9XqxtN98G6UA_7w9S7D61pVLH17dEp8duR_6rj5AHRpt2KU9RRkYOadM&__tn__=%2CO%2CP-R,,NEU,0.1790715605020523,0.24723508954048157,0.5736933350563049,SIN_COMENTARIO
17,2 días,"Com Luis López, @policia_py, confirma, en la 7.30 AM ABC Cardinal, Paraguay, que cocaína enviada por involucrados en ""Nexus"" llega por vía aérea. Comento que a pesar de evidencia recurrente, en Congreso no votan ley de derribo. ¿Para complacer a funcionarios de @laembajada?",0,Para complacer al patrao,,https://www.facebook.com/evargaspena/posts/pfbid0sNx29qDFWp1581xBvxUF1BdaCYfMAUSfD56xzHuxMK6nGKJAqtkC6QjSXvsmfXTJl?__cft__[0]=AZUa_4snWHLT3Ccd6C2TdK5krm7b_jOh7jIuRO4FNJPLdK0Un3WMUF1BZGXWFsB0eMMNn5bzIatYuJcZi-Tx8eXgogAzSmwg8ukjt_VJn0_ibmsFZbDDk9p5VE0kEhOmqVmodmsK-Vgwb0pPaE7z7mGbaEu04hqh2vMwK9BBQZxw8ciHvjGX4kO_eQc38flRT94&__tn__=%2CO%2CP-R,3.0,NEG,0.021097011864185333,0.5801337361335754,0.3987692594528198,NEU
18,2 días,"Com Luis López, @policia_py, detalla, en la 7.30 AM ABC Cardinal, Paraguay, que los allanamientos recién realizados en marco de operativo ""Nexus"" revelan envíos de promedio de 3.5 kg de cocaína dos o tres veces por semana durante al menos seis meses. Cocaína de Perú y Bolivia",0,,,https://www.facebook.com/evargaspena/posts/pfbid02A8UwamLLHxqk2CwHXU9vp3YfvrVCwNjTz1JNJpDPokXWH5ZM7wz5gPzWXgNCdYAjl?__cft__[0]=AZVsw8asroMC0O07h60UFBshCOUrG1nd6ffiiAKCYpBM8AFRRCvs9OLecbAMRHwRR75SyTkzQiKDjwBt0RJsqpP2WJ19aeEusJoldAZ8-I7wQ7qQdFs-TFQqKD8m-i1uDeK_0RnnR6OQy7r8GG5LBx8ycnzSfgD70w0NR8xhStMDGgN9NElqhqEBn53CC0EhPQM&__tn__=%2CO%2CP-R,,NEU,0.0865386351943016,0.11709585040807724,0.7963654398918152,SIN_COMENTARIO
19,2 días,"Hola, hasta las 08:00 estoy en 7.30 AM ABC Cardinal, Paraguay. Deportes con Ariel Julian Marecos",0,,,https://www.facebook.com/evargaspena/videos/2211058102687048/?__cft__[0]=AZXC_8ztVuBYFLdFeilyAaiAapMXoOTECtWXCH4T9yqqeETpNSJuOXmtWASV3Lg-AZOnrC-sr3wRkS3dkEk2bk4b1WJ_MpNivQ-juhDWY9ZR8tgQZ8th7DnEQLrbWW-g0VYk7Lumg8ZS4StyC2iCf10P1OBNXH-XWRZhF3Zrk5q-RijTmSXPIq6RQW1nA7ysot2Afnqq9sDnYOTeJN7mWuMc&__tn__=%2CO%2CP-R,,NEU,0.21240070462226868,0.031092524528503418,0.7565068006515503,SIN_COMENTARIO
20,2 días,"Anoche hablamos con Juan Carlos Arévalo, abogado de @MiguelPrietoCDE, sobre caminos legales que tiene la @Muni_CDE ante una intervención. Después hablé de cómo periodistas globalistas mienten para satanizar y descalificar a @Santi_ABASCAL",0,2 ñatos locos . ésa es tu audiencia Mr.cartes,,https://www.facebook.com/evargaspena/videos/2140021446466635/?__cft__[0]=AZUT9Ktuh9jyL9xmn0AZ7wNGrBsryjwmZt2uu2lmTZ2uyDTIIelfk2vqn3rzSR6-p6XSbGnCr5QL3Zuvz4aHBjDhPy-uGyf3KE4lp_OvpVpB1ILBsgzGxNLb6Lan1a5Xr4ZvijlzEqOmVGq6pWAQZfdAYpiMZdAnYzDffH_SyiTJ6tqrJ6e6uMhmvlxnRgfhRQgL3LlvliqZ3XL62yDgSO3l&__tn__=%2CO%2CP-R,,NEG,0.01515506487339735,0.8042784929275513,0.1805664598941803,NEG
21,3 días,"A partir de las 20 horas estoy en ABCTV, en ""Mesa"", canales 19 de TigoStar y 3 de Personal tv",0,,1 vez compartido,https://www.facebook.com/evargaspena/videos/1112869323985484/?__cft__[0]=AZUMtVDzyS1RGf7GBWqMSfUuyCnhR69O0_7lPXnxejh7nzhZc_CvmGyDpcnS7I2Nu6CTvJcSJlqY38zsGtzJejE2M6mssqb_wAo81bxM2_oC0PyVAYHF7oO5v8tjG_RA5AylrH1rmAq2BrW_qSMRoLG4aBSKXv3-onwWdBXzzZzFmwqa1b-crNz086c_x0l2LVt_4xcz5nVUBlbPRsHOkR2f&__tn__=%2CO%2CP-R,,NEU,0.15050607919692993,0.04011036828160286,0.8093835115432739,SIN_COMENTARIO
22,3 días,"Sólo quiero recordarte que desde las 17 y hasta las 19 estamos siempre con @figuejuanma en la 98.5 ABC FM, sólo  éxitos. La foto es de ""archivo""",0,Hola nenecho vargas irún,,https://www.facebook.com/evargaspena/posts/pfbid029cT3K2nJzTM55KjDUd91REXCbvUJ5SUkKkiXLtzVkt5vVpgEo1KiqWYHjoUtv8cfl?__cft__[0]=AZWpbahaB5sJt76H_zfsSZlvTo3K74HhPaakVMS13uG3ews_m0YgX8WfgOeXCyfTnr4ISDqO41f9xRDK1MJGWQHuTauVwmrSKezD5lP7ZQ7EZz5VQlwunrDFxtX4ag7YQyPi_Vr-8f4lSVYYXmIV76QywF2s3XrZ9xx6r2OwYUGBrmuJ3psnEoUhuufo5a1n_T_P9Fv24DL5acKhdMKY3Yh5&__tn__=%2CO%2CP-R,2.0,POS,0.6030460000038147,0.022722115740180016,0.37423190474510193,NEU
23,3 días,Abriendo la semana con controversias,0,"Mucha depresión en jóvenes!!, ..Algo pasa en la familia!!,el chico BRUNO LO ENCONTRARON MUERTO!!",4 veces compartido,https://www.facebook.com/evargaspena/videos/1266627708167066/?__cft__[0]=AZV-IfjnBHaG5BWTP3iS-Y_4Y8oQ_Qc58Gu3bHpy0oPI_a8VHxVhCI_y864zbXKqZXUxosydg1zA2syjSNJBUF7HFgf43AKmj_JpBpO_R7yE2mrW9iIdZtBxj4FzWDyddg-OCbgLNEtvsU7gu_bOSmZvtmJD8JT3HTLhBrB2NfyXpElFgN97yi4Iq5tmH3QhEjlOs674di_Evzr4mOYp7QuM&__tn__=%2CO%2CP-R,,NEU,0.11558762192726135,0.16198435425758362,0.722428023815155,NEG
24,3 días,No te confundas amigo/amiga...no es que los globalistas se calquen los ataques que realizan contra las fuerzas patrióticas. Es que siguen un libreto único. No calcan. Obedecen,3,Aquí en Paraguay también tenemos títeres que obedecen  al significativamente corrupto disfrazado de politiquillo del Horror Coloratas....,1 vez compartido,https://www.facebook.com/evargaspena/posts/pfbid02zrd1oQN8e6bXqV7igEscg4RKXDVkpFFz8AXdxgzQcr5x4WpGDf6KewrECQZcmacwl?__cft__[0]=AZXVv7aR4rq0YJX7S96cfnHsE20C9ew81Di9q9ySNE_FQSdRq3L7xk9do-9Gi7OGGjOffh2mpsakGc5IRQ9gQNdSGVA7p9Cj6v07_7RpJD6PwyF7PaEJCzoQ0_15Dhpt1kVZTSSZrw7urS4901J07x5cH9IW3CaGyRr5p0HA0_s3BMOIhmL1WdSNgycwjBx6gcNY0Jw8inLI0-2P4yO1IV3F&__tn__=%2CO%2CP-R,11.0,NEG,0.01070426870137453,0.8992728590965271,0.09002278745174408,NEG
25,3 días,"Diputada @RocioVallejoA critica, en la 7.30 AM ABC Cardinal, Paraguay, a quienes, en debate del aumento de penas a menores que cometen hechos punibles de mayores, descalifican a quienes se oponen a aumentarlas. Sin embargo (des) califica a @RubenRubin_ como ""diputado de redes""",0,"Que le pasa a Rocío? Medio desesperada está para tratarle así a un colega, y sí, ahora el pueblo está en las redes y el legislador interactua con su pueblo, que tiene de malo eso? Acaso no es la función del legislador para que pueda plasmar ese clamor …",,https://www.facebook.com/evargaspena/posts/pfbid0TRaUgFqLxexPdoGxqh3QqmzjkLxvjTXy2rnZJLeUnK5myi6Qa7PxWVjxq6hmKRhTl?__cft__[0]=AZUuNX7zVdFtrc_4gMk7t69s_wvH2W9jSxrzdAXTUwEOnbfrtfWJXOk9x3T_8wumzBVtg3UIpHpSgPlAN8IHiPkgDfYKqeT07ZVYo57vAywNe5G_z7hC84bSfIJ8bvzHiLCCFRTtMHrT6v3sw9sNfME9Gd3kTI1gWN0CCNPvfjpBT36APY8RU4w_JHIklS6WilY&__tn__=%2CO%2CP-R,2.0,NEG,0.00874385703355074,0.8927371501922607,0.09851896017789841,NEG
26,3 días,"Diputada @RocioVallejoA explica, en la 7.30 AM ABC Cardinal, Paraguay, la cesación de pagos de facto de la @AsuncionMuni y el ""bicicleteo"" financiero. Comenta que la ""confidencialidad"" oculta la identidad de los tenedores de los bonos de @nenechopy cuyo beneficio no se entiende",0,,,https://www.facebook.com/evargaspena/posts/pfbid022yNhYRayZS8sP4WZZbPk7njYjooNCZ2z2yyphmgysZsD2DyWjb6A1JHpwNXDyRXGl?__cft__[0]=AZVQIPToDlO8Qza7hh78ECQd0ShJ1wZsDdBLcfUATgXJYjMmMZmquPmWggMkElveq71z5tdwk9Ozcg5TabAOhblaUq4jF8g_u4f4ODtgYmElNLq_gTGUIoCiAZeifIGOhg9P5VH9a3pHer77QAOp9fOqvHn3zdinj_cDOpqtGrGvRBRsT4H2NyqkQBW3Hmic7fk&__tn__=%2CO%2CP-R,,NEG,0.011694727465510368,0.7965732216835022,0.19173206388950348,SIN_COMENTARIO
27,3 días,"Hola, hasta las 08:00 estoy en 7.30 AM ABC Cardinal, Paraguay. Deportes con Ariel Julian Marecos",0,Jheuna beso cure rai gui,,https://www.facebook.com/evargaspena/videos/1270760924605102/?__cft__[0]=AZV6yZf6W6WIRMjFYkgkhGABJc36F8RCkfM4UxvufrBqNGdK4jKRGaSei5TwuhKW16WsGpOMeNTRZLDn3f872sBp6l0JGNa4cnRp0m4b0MC8Nf0jBJjiCObwPqiWB-j4--xz-9NSIcY7l6A7ar9F5Tb5WFXrURcbLrrgqOr47xArdH7R_yoV41FE7vjiVXvzOYVzP7hTaI3U49aZMYH68_xq&__tn__=%2CO%2CP-R,,NEU,0.21240070462226868,0.031092524528503418,0.7565068006515503,NEU
28,3 días,"El viernes hablamos con @EnriqueRieraE, @MDI_Paraguay, sobre fallas de la @policia_py en casos de desaparición de personas y con el senador @zacariasirun, @ANRParaguay, sobre pedido de expulsión del embajador de Francia",0,,,https://www.facebook.com/evargaspena/videos/689950967363443/?__cft__[0]=AZWLQUSuSaUBI8XgagNAVkIC2JMdeazuxsSBLXadtMAAg9PPiSbG_cRiED0rvoQMNYWVyUjq5T8U0q65RZFFUXXNh9V8_b-_ECMp6ehpdXr1zp5rLszzgCjg492H5Kf5OTzIR4YUUxbWwcc30DeQjLiqnCvbzrs1bQLZhW0Y0IFRmn8c2P7QbYIk_MQYkk0KED0DGQDXeRxzRJl9-hvSw5Kn&__tn__=%2CO%2CP-R,,NEG,0.04876765236258507,0.5490503907203674,0.4021819829940796,SIN_COMENTARIO
29,3 días,Anoche debatieron @aleperaltamerlo y @RubenRubin_ sobre las penas para menores que cometen crimenes como adultos y las trabas que el globalismo impone para castigarlos,0,2 boludos el número de tu audiencia,,https://www.facebook.com/evargaspena/videos/693621666780489/?__cft__[0]=AZV_cmF8DKO5ygBlZSZAi0ceGIdrubnvynw12Vm1Y3fS8cc4uaOfCDQODjSgzrJufTAAeELAy8uo0ScP9kaBjQF8VJQJcb_8suGCD5blGMaqNQ07S74EBQG9K4JpY6W6tlnRRQc7Xc_bO3SDj2qxAFSgJE4W55JRp9zyierCohHYqPCrGT7pEd5MnCTC9Dnpg719ardl8z-8vIIgmyIYPS1q&__tn__=%2CO%2CP-R,,NEG,0.014056747779250145,0.8421012759208679,0.14384186267852783,NEU
30,4 días,"A las 20, ""En Detalles"" por ABCTV, canales 19 de TigoStar y 3 de Personal tv",0,Pero que gran vyrorei hay muchas más cosas que hacer para evitar la violencia juvenil es trabajar en la humildad de las persona y combatir el egoísmo cosa que los medios y en todos ámbito se fomenta la competencia las propaganda el más lindo  es el más…,8 veces compartido,https://www.facebook.com/evargaspena/videos/1215243736967352/?__cft__[0]=AZW3GIGtQXdQDn7d_T2anuI3LnzfW-PAVmFTwDJhNFp28DUU-eOe7A1VYhDWoRfIcdtR5r2sFXIfJu5ntnhIPeNKDohTUXgueMB0GlL10fa589dFaI4I8MYvhk9E_McD89E0GnNdw4Ol3zO1W_ogh5IbwYwJfTUhnoGakQ0vzU7LbWOMci69c3nCt5l7vXA7rsFkMUEREYKpMvqAReTTnAJC&__tn__=%2CO%2CP-R,,NEU,0.20794135332107544,0.05872439593076706,0.7333343029022217,POS
